Question,Topic,Difficulty,Weight,SelectedAnswer,CorrectAnswer,Correct
(Hard) What is the role of the main() method in Java?,Methods (Defining  Calling),Hard,1.00,Memory allocation,Program entry point,False
(Hard) What is printed? int arr[] = {3  6  9}; int i; for(i = 0; i < arr.length; i++); System.out.print(i);,Arrays (Single Dimensional Arrays  Loop Traversal),Hard,1.00,3,3,True
(Hard) What best summarizes Java parameter passing?,Parameters,Hard,1.00,Pass-by-value for primitives  reference for objects,Always pass-by-value,False
(Hard) What is printed? void test(Integer x) { x = 20; } Integer a = 10; test(a); System.out.println(a);,Parameters,Hard,1.00,10,10,True
(Medium) Where are method calls stored during execution?,Methods (Defining  Calling),Medium,0.60,Stack,Stack,True
(Hard) Evaluate which method is properly structured.,Return values,Hard,1.00,int m(){ if(true) return 1; else return 2; },int m(){ if(true) return 1; else return 2; },True

Total Score,'29/65'
Methods (Defining, Calling),0.85
Arrays (Single Dimensional Arrays, Loop Traversal),0.99
Parameters,0.98
Return values,0.97
